Sample_Start	Sample_End	GC_Content(%)
21455603	21541185	57.85
3735650	3821232	57.38
839221	924803	58.65
9228452	9314034	58.21
8217207	8302789	57.25
7489709	7575291	58.67
4682115	4767697	57.90
3439167	3524749	59.90
22706266	22791848	57.08
18299464	18385046	59.01
2917183	3002765	59.61
19813640	19899222	57.44
14157347	14242929	58.83
1066449	1152031	55.32
999828	1085410	57.39
3143890	3229472	58.43
7336273	7421855	59.04
7806804	7892386	58.25
16956909	17042491	57.88
20200396	20285978	57.39
890399	975981	59.39
18832259	18917841	57.06
6671884	6757466	52.74
24025631	24111213	56.55
21806503	21892085	59.42
23532561	23618143	59.52
18285201	18370783	59.45
14076749	14162331	60.11
7396759	7482341	59.06
15072954	15158536	59.02
19772475	19858057	57.61
9334531	9420113	56.42
218062	303644	58.97
5357277	5442859	57.95
23425670	23511252	59.03
14180586	14266168	58.01
11416912	11502494	57.67
9323815	9409397	56.45
5217026	5302608	59.11
7224730	7310312	59.26
11294238	11379820	58.30
3429607	3515189	59.20
3112034	3197616	58.11
12748244	12833826	58.96
3245263	3330845	59.57
12045349	12130931	59.40
11541238	11626820	57.95
20257684	20343266	58.81
8875847	8961429	59.92
1457954	1543536	59.56
15415740	15501322	59.74
17992829	18078411	56.09
4188470	4274052	59.89
12701506	12787088	58.24
2644095	2729677	57.00
18523409	18608991	57.06
9837430	9923012	58.50
21093651	21179233	58.08
20754078	20839660	58.35
12134457	12220039	57.30
19372723	19458305	58.72
6452134	6537716	58.26
23641507	23727089	58.57
2333883	2419465	59.08
1537611	1623193	58.33
22188315	22273897	59.01
7646997	7732579	58.47
9710248	9795830	58.78
2677374	2762956	57.21
7811165	7896747	58.33
3389045	3474627	58.91
12754919	12840501	58.92
9327246	9412828	56.36
15213925	15299507	59.75
21330030	21415612	58.94
12241736	12327318	54.83
5457765	5543347	59.32
12421212	12506794	59.33
11920906	12006488	57.63
7029889	7115471	58.18
22487347	22572929	59.05
8958289	9043871	58.03
23549181	23634763	59.82
22936053	23021635	58.34
21744459	21830041	58.10
2395870	2481452	58.25
20439044	20524626	59.26
21306335	21391917	58.71
5742460	5828042	60.34
17922760	18008342	58.84
8214491	8300073	57.40
5482877	5568459	59.24
15510878	15596460	58.98
12732411	12817993	59.06
9057945	9143527	57.82
21474828	21560410	58.42
23090883	23176465	59.36
18688132	18773714	59.04
7369062	7454644	58.24
22971842	23057424	58.01
10881122	10966704	57.27
1876966	1962548	59.40
7685577	7771159	59.00
1077105	1162687	55.39
10584847	10670429	55.43
13460856	13546438	59.01
8983893	9069475	57.88
2220921	2306503	56.84
7079409	7164991	58.37
19031404	19116986	58.65
24089205	24174787	56.76
10558837	10644419	55.31
7134562	7220144	57.90
21992872	22078454	58.73
16751421	16837003	57.22
13275203	13360785	58.04
21570529	21656111	58.79
15396513	15482095	59.23
4793975	4879557	59.00
8887903	8973485	59.76
4685216	4770798	57.50
8275445	8361027	58.49
18836388	18921970	56.81
18085076	18170658	57.46
8816145	8901727	58.70
19615450	19701032	53.60
14375853	14461435	59.19
19580115	19665697	54.98
13401657	13487239	57.02
12146585	12232167	56.65
7359183	7444765	58.33
4641643	4727225	58.52
17096865	17182447	59.41
16559643	16645225	58.78
3050413	3135995	59.11
1580963	1666545	59.24
3679214	3764796	53.59
5128503	5214085	59.75
21053595	21139177	58.92
5368105	5453687	57.91
22833160	22918742	58.30
14165337	14250919	58.56
20012166	20097748	58.39
2131636	2217218	58.38
12910648	12996230	58.85
12805018	12890600	59.40
19994697	20080279	58.00
15705148	15790730	57.72
17754131	17839713	59.76
8436057	8521639	56.91
18563180	18648762	58.57
385239	470821	58.80
22826523	22912105	58.68
24183411	24268993	58.67
3843718	3929300	58.71
22874404	22959986	58.65
18017734	18103316	54.83
8953167	9038749	58.27
21507109	21592691	58.63
11414394	11499976	57.68
3743069	3828651	57.70
9848230	9933812	58.64
14588301	14673883	58.53
5306893	5392475	58.64
15224441	15310023	59.78
108894	194476	58.64
24229388	24314970	58.38
24148476	24234058	57.75
8837869	8923451	59.41
16796882	16882464	57.29
5994562	6080144	58.75
17034970	17120552	59.01
3570554	3656136	58.33
20981592	21067174	58.28
10014145	10099727	59.10
21439587	21525169	56.90
17034339	17119921	58.97
20433649	20519231	59.18
6674349	6759931	53.03
5128434	5214016	59.76
12546466	12632048	57.87
5420686	5506268	59.41
18098556	18184138	58.46
17795716	17881298	58.95
19189	104771	57.97
20097245	20182827	57.03
10876872	10962454	57.22
16394887	16480469	58.43
653531	739113	57.53
3753657	3839239	57.85
12179613	12265195	57.23
10318461	10404043	58.32
8034686	8120268	60.30
1943646	2029228	59.00
8082309	8167891	58.81
19037339	19122921	58.68
2642648	2728230	57.16
2874052	2959634	58.26
16307133	16392715	57.81
2322386	2407968	59.20
17874652	17960234	57.88
4219822	4305404	58.67
4308102	4393684	58.36
22137564	22223146	58.90
15947830	16033412	57.57
18448347	18533929	57.26
5540741	5626323	59.80
8893824	8979406	59.65
17705794	17791376	59.10
20353914	20439496	58.68
14198153	14283735	58.25
7106768	7192350	58.01
18095773	18181355	58.33
23148116	23233698	59.87
6749509	6835091	56.52
23922597	24008179	56.00
10459463	10545045	57.72
13387959	13473541	57.22
22538074	22623656	57.72
21806289	21891871	59.40
12529912	12615494	57.77
14700199	14785781	57.21
