Sample_Start	Sample_End	GC_Content(%)
3735650	3823024	53.74
839221	926595	51.48
9228452	9315826	50.85
8217207	8304581	54.47
7489709	7577083	52.99
4682115	4769489	51.78
3439167	3526541	53.45
18299464	18386838	52.51
2917183	3004557	53.23
14157347	14244721	53.32
1066449	1153823	53.18
999828	1087202	53.71
3143890	3231264	53.99
7336273	7423647	54.22
7806804	7894178	54.23
16956909	17044283	51.81
890399	977773	50.41
18832259	18919633	52.85
6671884	6759258	54.53
18285201	18372575	52.97
14076749	14164123	54.17
7396759	7484133	54.24
15072954	15160328	53.78
9334531	9421905	53.34
218062	305436	53.73
5357277	5444651	53.16
14180586	14267960	53.46
11416912	11504286	50.35
9323815	9411189	53.21
5217026	5304400	53.54
7224730	7312104	51.75
11294238	11381612	54.02
3429607	3516981	53.76
3112034	3199408	54.09
12748244	12835618	53.70
3245263	3332637	52.94
12045349	12132723	52.22
11541238	11628612	54.45
8875847	8963221	54.04
1457954	1545328	53.82
15415740	15503114	53.08
17992829	18080203	53.12
4188470	4275844	53.37
12701506	12788880	53.79
2644095	2731469	53.86
18523409	18610783	52.59
9837430	9924804	52.02
12134457	12221831	53.14
6452134	6539508	54.41
2333883	2421257	53.36
1537611	1624985	53.97
7646997	7734371	53.48
9710248	9797622	52.68
2677374	2764748	53.55
7811165	7898539	54.04
3389045	3476419	53.95
12754919	12842293	53.68
9327246	9414620	53.12
15213925	15301299	53.27
12241736	12329110	53.48
5457765	5545139	54.29
12421212	12508586	53.14
11920906	12008280	53.35
7029889	7117263	53.55
8958289	9045663	51.00
2395870	2483244	53.57
5742460	5829834	53.87
17922760	18010134	50.20
8214491	8301865	54.59
5482877	5570251	54.22
15510878	15598252	54.19
12732411	12819785	53.67
9057945	9145319	53.57
18688132	18775506	53.11
7369062	7456436	54.59
10881122	10968496	53.44
1876966	1964340	54.09
7685577	7772951	53.58
1077105	1164479	52.93
10584847	10672221	53.20
13460856	13548230	53.76
8983893	9071267	50.19
2220921	2308295	53.32
7079409	7166783	54.11
19031404	19118778	52.89
10558837	10646211	52.89
7134562	7221936	52.89
16751421	16838795	53.76
13275203	13362577	53.63
15396513	15483887	53.95
4793975	4881349	53.45
8887903	8975277	54.02
4685216	4772590	51.89
8275445	8362819	53.28
18836388	18923762	52.63
18085076	18172450	53.60
8816145	8903519	53.94
14375853	14463227	53.85
13401657	13489031	53.10
12146585	12233959	53.35
7359183	7446557	54.55
4641643	4729017	53.92
17096865	17184239	53.26
16559643	16647017	52.67
3050413	3137787	51.49
1580963	1668337	53.32
3679214	3766588	53.71
5128503	5215877	54.23
5368105	5455479	53.18
14165337	14252711	53.50
2131636	2219010	52.65
12910648	12998022	53.74
12805018	12892392	54.56
15705148	15792522	54.09
17754131	17841505	52.98
8436057	8523431	54.38
18563180	18650554	52.08
385239	472613	53.13
3843718	3931092	53.77
18017734	18105108	53.30
8953167	9040541	51.40
11414394	11501768	50.26
3743069	3830443	53.79
9848230	9935604	51.31
14588301	14675675	53.57
5306893	5394267	54.23
15224441	15311815	53.05
108894	196268	53.55
8837869	8925243	54.31
16796882	16884256	53.77
5994562	6081936	53.92
17034970	17122344	53.15
3570554	3657928	54.35
10014145	10101519	53.47
17034339	17121713	53.14
6674349	6761723	54.42
5128434	5215808	54.24
12546466	12633840	53.89
5420686	5508060	53.92
18098556	18185930	53.62
17795716	17883090	53.85
19189	106563	53.73
10876872	10964246	53.55
16394887	16482261	52.99
653531	740905	53.10
3753657	3841031	53.90
12179613	12266987	53.53
10318461	10405835	53.55
8034686	8122060	53.68
1943646	2031020	53.34
8082309	8169683	52.66
19037339	19124713	53.19
2642648	2730022	53.89
2874052	2961426	53.97
16307133	16394507	51.43
2322386	2409760	53.73
17874652	17962026	52.32
4219822	4307196	53.15
4308102	4395476	53.26
15947830	16035204	54.19
18448347	18535721	53.25
5540741	5628115	53.67
8893824	8981198	53.98
17705794	17793168	53.32
14198153	14285527	53.59
7106768	7194142	54.03
18095773	18183147	53.66
6749509	6836883	54.12
10459463	10546837	53.87
13387959	13475333	52.77
12529912	12617286	54.50
14700199	14787573	50.91
17366963	17454337	53.88
15149361	15236735	53.88
4060227	4147601	54.37
8318332	8405706	53.77
7539591	7626965	53.36
2148352	2235726	52.45
11344269	11431643	52.92
705792	793166	54.03
18586522	18673896	52.34
7721369	7808743	53.83
7389269	7476643	54.26
241284	328658	53.78
2382132	2469506	53.54
1975475	2062849	53.28
7682011	7769385	53.66
2261579	2348953	54.03
1054043	1141417	52.79
11087340	11174714	52.93
2377578	2464952	53.72
17252216	17339590	53.29
7986110	8073484	53.06
9344146	9431520	53.43
16287807	16375181	51.40
7188594	7275968	50.73
18093688	18181062	53.51
4439648	4527022	53.64
15860207	15947581	54.20
8153634	8241008	54.14
15870338	15957712	54.32
13658665	13746039	53.77
6389096	6476470	53.62
3165048	3252422	53.47
3252458	3339832	52.80
14463677	14551051	53.42
11888253	11975627	52.54
14212940	14300314	53.71
13794303	13881677	53.88
15670747	15758121	54.07
1817683	1905057	53.97
3302355	3389729	53.18
2033823	2121197	53.92
13509728	13597102	53.73
11385106	11472480	50.55
3666460	3753834	54.26
8343522	8430896	54.37
6428696	6516070	54.07
6382351	6469725	53.46
17994763	18082137	53.19
15052972	15140346	53.90
4703737	4791111	51.63
14155998	14243372	53.41
6156836	6244210	53.54
9346424	9433798	53.55
15523222	15610596	54.12
8382113	8469487	54.71
2529497	2616871	54.18
14869000	14956374	53.43
18465853	18553227	52.83
3285271	3372645	52.92
1697462	1784836	53.28
18139121	18226495	53.88
495191	582565	53.71
3129379	3216753	54.29
7931579	8018953	52.57
5580474	5667848	53.62
13636992	13724366	52.64
16295412	16382786	51.52
16151708	16239082	52.70
7172169	7259543	51.01
13456679	13544053	53.81
1967477	2054851	53.32
5524305	5611679	53.82
12716227	12803601	53.52
72322	159696	53.75
13100380	13187754	53.40
8898737	8986111	53.96
15267547	15354921	52.55
9571375	9658749	53.21
14193775	14281149	53.79
18648490	18735864	53.28
16329982	16417356	52.05
5194119	5281493	53.68
6371915	6459289	52.94
9955862	10043236	54.59
7304829	7392203	53.51
1962373	2049747	53.20
18193052	18280426	54.04
2045396	2132770	54.39
10522831	10610205	53.33
1918148	2005522	53.40
1682497	1769871	53.21
15998367	16085741	54.61
16872858	16960232	52.78
17821635	17909009	53.67
5282565	5369939	54.27
1908561	1995935	53.58
17039896	17127270	53.32
2688094	2775468	53.47
6235251	6322625	53.28
2299194	2386568	54.38
2280388	2367762	53.96
7892133	7979507	52.69
13548459	13635833	51.68
4022727	4110101	53.78
8261616	8348990	53.41
1333508	1420882	54.36
2750906	2838280	53.88
14066853	14154227	53.91
18965868	19053242	53.09
17541677	17629051	53.49
10615610	10702984	53.98
8749844	8837218	53.58
6853801	6941175	53.66
10542261	10629635	53.04
8008971	8096345	53.32
8912544	8999918	53.30
13280369	13367743	53.73
4391546	4478920	53.54
10066231	10153605	53.45
15341910	15429284	53.53
10609146	10696520	53.82
2434143	2521517	53.33
312574	399948	53.99
15377510	15464884	53.52
18890931	18978305	53.51
3354814	3442188	53.87
2458221	2545595	53.27
18040017	18127391	53.28
7152271	7239645	51.66
16974673	17062047	52.71
8898649	8986023	53.96
4444504	4531878	53.83
11710793	11798167	53.22
2308253	2395627	54.18
8196824	8284198	54.88
12399271	12486645	53.20
9562590	9649964	53.19
5293105	5380479	54.18
14703034	14790408	51.00
18227370	18314744	53.97
10150790	10238164	53.43
17748304	17835678	52.97
262499	349873	54.24
18609364	18696738	52.92
10045483	10132857	52.80
3475786	3563160	53.64
4506062	4593436	53.89
8874003	8961377	53.93
3873143	3960517	53.54
3591531	3678905	54.97
18563105	18650479	52.08
5215966	5303340	53.48
9138489	9225863	53.88
9454171	9541545	53.61
7067558	7154932	53.92
11505153	11592527	54.23
6831592	6918966	53.73
8857829	8945203	53.91
16958713	17046087	51.89
16392408	16479782	53.24
8426230	8513604	54.34
1704528	1791902	53.26
3097022	3184396	54.00
14212844	14300218	53.69
9283847	9371221	51.03
1479306	1566680	53.61
118973	206347	53.47
11192300	11279674	54.60
4389579	4476953	53.57
8789760	8877134	53.70
5421791	5509165	53.94
14825539	14912913	54.02
18511323	18598697	53.25
14350791	14438165	53.69
18820911	18908285	52.58
324461	411835	53.83
3753864	3841238	53.92
2524764	2612138	54.03
5001431	5088805	53.63
18306972	18394346	52.55
1208903	1296277	54.41
12388832	12476206	53.32
18539665	18627039	51.93
4969202	5056576	53.98
14421249	14508623	53.00
4276362	4363736	52.81
1403543	1490917	53.54
10343433	10430807	52.86
12235674	12323048	53.59
1338649	1426023	54.34
12006085	12093459	52.63
7048998	7136372	53.67
8372828	8460202	54.78
3449181	3536555	53.61
11867485	11954859	53.04
18786573	18873947	53.43
13635762	13723136	52.49
5185949	5273323	53.62
7943586	8030960	52.64
5452654	5540028	54.03
5940891	6028265	53.76
13834304	13921678	54.17
831692	919066	51.35
6018345	6105719	54.30
11146294	11233668	53.85
13814801	13902175	54.06
8327110	8414484	53.98
8952514	9039888	51.41
5341793	5429167	53.14
3627087	3714461	55.23
12835970	12923344	54.17
1299382	1386756	54.18
15793736	15881110	53.03
7463637	7551011	52.93
6696552	6783926	53.98
15445213	15532587	52.85
11732589	11819963	53.70
10240506	10327880	52.61
7636837	7724211	53.73
7480073	7567447	52.52
794046	881420	53.03
6480360	6567734	54.71
13370299	13457673	52.70
11014643	11102017	53.89
9348367	9435741	53.54
2329373	2416747	53.28
9365880	9453254	53.44
11782508	11869882	54.20
17092818	17180192	53.19
13410981	13498355	52.96
17992414	18079788	53.10
11111545	11198919	52.72
926120	1013494	52.32
3870226	3957600	53.56
8764927	8852301	53.59
5991741	6079115	53.90
8907573	8994947	53.34
1283698	1371072	53.85
3637385	3724759	54.75
14581540	14668914	53.56
11599334	11686708	53.32
10525264	10612638	53.26
14642948	14730322	53.09
17160510	17247884	53.58
3880428	3967802	53.72
12925013	13012387	53.82
6377985	6465359	53.44
8547069	8634443	53.46
1489364	1576738	53.48
14631662	14719036	53.13
56749	144123	53.90
17445631	17533005	54.37
18067450	18154824	53.61
6611401	6698775	54.04
12221244	12308618	53.60
14471939	14559313	53.28
2347931	2435305	53.66
11079674	11167048	53.22
10533261	10620635	53.08
4181731	4269105	53.23
10077143	10164517	53.51
17016207	17103581	53.41
10377871	10465245	53.52
13703392	13790766	53.99
10944882	11032256	54.16
13502316	13589690	53.75
9920542	10007916	52.40
18602995	18690369	52.78
4271069	4358443	52.86
6437085	6524459	54.17
14107837	14195211	53.03
12722004	12809378	53.68
5839388	5926762	53.38
10098202	10185576	53.25
13625621	13712995	52.17
18385721	18473095	53.61
13621	100995	53.73
10196351	10283725	52.57
9627226	9714600	52.68
7052560	7139934	53.68
14424652	14512026	53.08
10812889	10900263	53.61
15602414	15689788	53.44
14823878	14911252	53.93
14836420	14923794	53.60
7170629	7258003	51.06
17152153	17239527	53.30
15877493	15964867	54.07
5693898	5781272	53.55
2845266	2932640	54.32
9522291	9609665	53.40
17295699	17383073	53.40
11247051	11334425	54.16
3133554	3220928	54.31
7880882	7968256	52.96
10415948	10503322	54.03
7537689	7625063	53.31
6681691	6769065	54.26
4944378	5031752	53.54
819580	906954	51.94
1550675	1638049	53.59
8215552	8302926	54.55
15942930	16030304	54.16
2443709	2531083	53.17
15281230	15368604	52.77
13906332	13993706	52.81
6524163	6611537	54.63
12884179	12971553	53.87
16588545	16675919	53.00
13410124	13497498	52.99
8186759	8274133	54.84
4951672	5039046	53.72
186053	273427	54.00
3576476	3663850	54.45
14265539	14352913	53.73
7343090	7430464	54.47
5901777	5989151	53.82
17379778	17467152	54.19
15587707	15675081	53.27
1685049	1772423	53.24
18703434	18790808	53.13
8361706	8449080	54.51
4072118	4159492	54.35
15316317	15403691	53.12
4474117	4561491	53.51
15590839	15678213	53.32
17821828	17909202	53.67
18754420	18841794	53.71
10646752	10734126	53.81
14850299	14937673	53.53
16937544	17024918	50.86
14319043	14406417	53.60
18383532	18470906	53.53
14962377	15049751	53.27
5340453	5427827	53.18
15927431	16014805	54.47
15101835	15189209	53.81
8697025	8784399	53.77
8295988	8383362	53.17
9305024	9392398	52.49
17491919	17579293	54.10
16260377	16347751	53.59
8027759	8115133	53.41
9213961	9301335	51.77
14759675	14847049	53.25
2599909	2687283	53.59
9587445	9674819	53.18
7868298	7955672	53.26
9117246	9204620	53.71
11269173	11356547	54.47
10727672	10815046	53.41
18124501	18211875	53.64
2703737	2791111	53.38
4643063	4730437	53.87
5061037	5148411	53.10
7759847	7847221	53.98
12852531	12939905	53.87
5127293	5214667	54.25
7179067	7266441	50.76
2155162	2242536	52.74
13920656	14008030	52.99
13676765	13764139	53.84
11102537	11189911	52.99
18207008	18294382	54.03
15633825	15721199	53.50
13951068	14038442	53.35
2089290	2176664	53.41
6940210	7027584	53.18
14097677	14185051	53.39
13068673	13156047	53.20
655383	742757	53.04
12763469	12850843	53.73
16004784	16092158	54.62
197839	285213	53.69
11803066	11890440	54.30
10019777	10107151	53.40
13085780	13173154	53.24
14060021	14147395	53.93
18059685	18147059	53.44
18325159	18412533	52.72
7400050	7487424	53.96
16382262	16469636	53.10
7362568	7449942	54.53
9158189	9245563	53.26
14624228	14711602	53.20
16295441	16382815	51.52
973911	1061285	54.37
13047882	13135256	53.77
11278635	11366009	53.88
13566616	13653990	50.69
5537982	5625356	53.63
15683010	15770384	54.20
4282478	4369852	52.72
17922215	18009589	50.15
904843	992217	51.35
13221125	13308499	53.70
18937852	19025226	53.35
909393	996767	51.87
2816809	2904183	54.33
14381858	14469232	53.70
4553319	4640693	53.54
15492029	15579403	53.51
6097814	6185188	53.47
1687272	1774646	53.23
8729397	8816771	53.86
12720614	12807988	53.61
10984132	11071506	54.07
7102140	7189514	54.00
15257177	15344551	52.62
10967125	11054499	54.27
11324639	11412013	53.46
12721364	12808738	53.68
9336742	9424116	53.29
14145368	14232742	53.41
8464827	8552201	53.94
2748317	2835691	53.75
15780878	15868252	52.96
650395	737769	53.23
18099899	18187273	53.57
1747702	1835076	53.23
11742720	11830094	54.00
7523647	7611021	53.03
2302450	2389824	54.48
1350838	1438212	53.96
1041193	1128567	53.31
8297450	8384824	53.25
6689434	6776808	54.27
683839	771213	53.87
5113103	5200477	53.72
8004240	8091614	53.38
4235273	4322647	53.75
15890072	15977446	54.43
3838272	3925646	53.86
18923678	19011052	53.69
7313676	7401050	53.75
15603951	15691325	53.40
8598111	8685485	53.19
12378068	12465442	53.48
5630069	5717443	54.27
3843085	3930459	53.75
5495068	5582442	53.96
10436734	10524108	53.95
3627192	3714566	55.23
861624	948998	50.59
10467548	10554922	53.59
12593211	12680585	50.58
13309514	13396888	53.03
6654843	6742217	54.34
2550018	2637392	53.76
8148673	8236047	53.86
3419240	3506614	53.62
10119435	10206809	53.46
4061933	4149307	54.43
18989545	19076919	52.78
1378051	1465425	53.59
11650225	11737599	52.97
17875964	17963338	52.26
14373980	14461354	53.75
12434295	12521669	52.78
2313804	2401178	54.11
16977226	17064600	52.76
11449818	11537192	51.69
424535	511909	53.12
14094832	14182206	53.59
