Sample_Start	Sample_End	GC_Content(%)
3735650	3830017	53.53
839221	933588	53.03
9228452	9322819	53.79
8217207	8311574	53.89
7489709	7584076	53.66
4682115	4776482	53.90
3439167	3533534	54.58
18299464	18393831	53.08
2917183	3011550	53.55
19813640	19908007	51.01
14157347	14251714	53.80
1066449	1160816	53.52
999828	1094195	53.27
3143890	3238257	52.99
7336273	7430640	46.33
7806804	7901171	53.65
16956909	17051276	53.26
890399	984766	53.81
18832259	18926626	53.36
6671884	6766251	52.89
18285201	18379568	53.48
14076749	14171116	53.59
7396759	7491126	44.34
15072954	15167321	53.33
19772475	19866842	52.72
9334531	9428898	53.62
218062	312429	53.46
5357277	5451644	53.92
14180586	14274953	53.37
11416912	11511279	53.51
9323815	9418182	53.46
5217026	5311393	53.68
7224730	7319097	52.51
11294238	11388605	53.81
3429607	3523974	54.60
3112034	3206401	52.54
12748244	12842611	54.15
3245263	3339630	53.80
12045349	12139716	54.12
11541238	11635605	51.71
8875847	8970214	53.72
1457954	1552321	53.15
15415740	15510107	53.62
17992829	18087196	53.22
4188470	4282837	53.28
12701506	12795873	53.50
2644095	2738462	54.49
18523409	18617776	52.74
9837430	9931797	52.47
12134457	12228824	53.54
19372723	19467090	53.99
6452134	6546501	53.23
2333883	2428250	53.30
1537611	1631978	54.40
7646997	7741364	53.23
9710248	9804615	54.27
2677374	2771741	54.26
7811165	7905532	53.55
3389045	3483412	54.29
12754919	12849286	54.16
9327246	9421613	53.66
15213925	15308292	53.97
12241736	12336103	53.07
5457765	5552132	53.66
12421212	12515579	53.98
11920906	12015273	52.98
7029889	7124256	53.77
8958289	9052656	54.47
2395870	2490237	53.85
5742460	5836827	53.60
17922760	18017127	53.30
8214491	8308858	54.02
5482877	5577244	54.06
15510878	15605245	53.96
12732411	12826778	53.67
9057945	9152312	53.77
18688132	18782499	52.48
7369062	7463429	45.11
10881122	10975489	53.06
1876966	1971333	53.48
7685577	7779944	53.23
1077105	1171472	53.70
10584847	10679214	54.02
13460856	13555223	53.73
8983893	9078260	54.81
2220921	2315288	53.62
7079409	7173776	52.11
19031404	19125771	54.06
10558837	10653204	53.95
7134562	7228929	51.93
16751421	16845788	53.69
13275203	13369570	50.91
15396513	15490880	53.26
4793975	4888342	53.67
8887903	8982270	53.87
4685216	4779583	53.91
8275445	8369812	53.50
18836388	18930755	53.48
18085076	18179443	53.05
8816145	8910512	53.32
19615450	19709817	53.57
14375853	14470220	54.39
19580115	19674482	53.39
13401657	13496024	54.06
12146585	12240952	53.64
7359183	7453550	45.06
4641643	4736010	53.41
17096865	17191232	53.82
16559643	16654010	53.55
3050413	3144780	51.60
1580963	1675330	53.59
3679214	3773581	53.55
5128503	5222870	52.79
5368105	5462472	53.96
14165337	14259704	53.86
20012166	20106533	53.62
2131636	2226003	52.38
12910648	13005015	53.82
12805018	12899385	54.49
19994697	20089064	53.26
15705148	15799515	53.31
17754131	17848498	53.35
8436057	8530424	53.36
18563180	18657547	53.71
385239	479606	53.30
3843718	3938085	53.88
18017734	18112101	53.30
8953167	9047534	54.21
11414394	11508761	53.73
3743069	3837436	53.46
9848230	9942597	52.74
14588301	14682668	53.47
5306893	5401260	53.71
15224441	15318808	53.70
108894	203261	54.43
8837869	8932236	53.73
16796882	16891249	53.97
5994562	6088929	53.30
17034970	17129337	53.22
3570554	3664921	53.98
10014145	10108512	54.55
17034339	17128706	53.17
6674349	6768716	52.98
5128434	5222801	52.78
12546466	12640833	53.51
5420686	5515053	53.41
18098556	18192923	52.79
17795716	17890083	53.24
19189	113556	53.60
20097245	20191612	53.20
10876872	10971239	53.19
16394887	16489254	54.24
653531	747898	53.57
3753657	3848024	53.57
12179613	12273980	53.16
10318461	10412828	54.30
8034686	8129053	53.96
1943646	2038013	53.79
8082309	8176676	54.52
19037339	19131706	53.89
2642648	2737015	54.40
2874052	2968419	52.12
16307133	16401500	53.55
2322386	2416753	53.19
17874652	17969019	53.37
4219822	4314189	53.20
4308102	4402469	52.75
15947830	16042197	53.42
18448347	18542714	52.11
5540741	5635108	53.39
8893824	8988191	53.93
17705794	17800161	54.19
14198153	14292520	53.14
7106768	7201135	51.94
18095773	18190140	52.81
6749509	6843876	53.29
10459463	10553830	53.27
13387959	13482326	54.27
12529912	12624279	53.39
14700199	14794566	53.17
17366963	17461330	53.98
15149361	15243728	53.50
4060227	4154594	53.93
8318332	8412699	53.21
7539591	7633958	53.54
2148352	2242719	52.68
11344269	11438636	53.72
705792	800159	54.31
19740364	19834731	53.50
18586522	18680889	53.84
7721369	7815736	53.80
19744773	19839140	53.54
7389269	7483636	44.37
241284	335651	53.78
2382132	2476499	53.60
1975475	2069842	53.61
7682011	7776378	53.08
2261579	2355946	53.46
1054043	1148410	52.84
11087340	11181707	53.43
2377578	2471945	53.55
17252216	17346583	53.48
7986110	8080477	53.23
9344146	9438513	53.72
16287807	16382174	53.50
7188594	7282961	52.66
18093688	18188055	52.82
4439648	4534015	54.04
19161026	19255393	52.95
19334454	19428821	53.82
15860207	15954574	54.24
8153634	8248001	53.74
15870338	15964705	54.17
13658665	13753032	53.72
6389096	6483463	54.32
3165048	3259415	53.13
3252458	3346825	54.15
14463677	14558044	53.50
11888253	11982620	53.61
14212940	14307307	53.36
13794303	13888670	53.11
15670747	15765114	53.25
1817683	1912050	53.71
3302355	3396722	53.63
2033823	2128190	53.52
13509728	13604095	53.67
11385106	11479473	53.12
3666460	3760827	53.63
8343522	8437889	52.19
6428696	6523063	53.99
6382351	6476718	54.30
17994763	18089130	53.22
15052972	15147339	53.60
4703737	4798104	53.79
14155998	14250365	53.80
6156836	6251203	51.42
9346424	9440791	53.70
15523222	15617589	54.03
8382113	8476480	51.91
2529497	2623864	53.28
14869000	14963367	53.21
18465853	18560220	51.38
3285271	3379638	53.71
1697462	1791829	53.52
18139121	18233488	52.69
495191	589558	52.97
3129379	3223746	53.27
7931579	8025946	53.54
5580474	5674841	52.58
13636992	13731359	53.45
16295412	16389779	53.53
16151708	16246075	53.34
7172169	7266536	52.77
13456679	13551046	53.66
1967477	2061844	53.70
5524305	5618672	53.85
12716227	12810594	53.75
72322	166689	54.28
13100380	13194747	50.27
8898737	8993104	53.91
15267547	15361914	51.61
9571375	9665742	53.35
14193775	14288142	53.05
18648490	18742857	52.91
16329982	16424349	53.77
5194119	5288486	52.85
6371915	6466282	54.30
9955862	10050229	54.46
7304829	7399196	53.48
1962373	2056740	53.59
19434065	19528432	53.64
18193052	18287419	53.55
2045396	2139763	53.21
10522831	10617198	53.46
1918148	2012515	53.41
1682497	1776864	53.67
19601747	19696114	53.37
15998367	16092734	53.50
16872858	16967225	53.54
17821635	17916002	53.38
5282565	5376932	53.87
1908561	2002928	53.25
17039896	17134263	53.33
2688094	2782461	54.20
6235251	6329618	53.64
2299194	2393561	53.34
19966065	20060432	53.15
2280388	2374755	53.75
7892133	7986500	54.12
13548459	13642826	53.62
