Sample_Start	Sample_End	GC_Content(%)
21455603	21540121	57.60
3735650	3820168	57.81
839221	923739	58.13
9228452	9312970	59.09
8217207	8301725	59.66
7489709	7574227	56.20
4682115	4766633	58.70
3439167	3523685	57.76
18299464	18383982	57.78
2917183	3001701	59.29
19813640	19898158	59.63
14157347	14241865	60.05
1066449	1150967	57.65
999828	1084346	59.01
3143890	3228408	57.89
7336273	7420791	58.61
7806804	7891322	58.82
16956909	17041427	55.00
20200396	20284914	58.85
890399	974917	58.66
18832259	18916777	58.77
6671884	6756402	54.74
18285201	18369719	57.94
14076749	14161267	58.70
7396759	7481277	59.55
15072954	15157472	57.34
19772475	19856993	59.31
9334531	9419049	58.22
218062	302580	56.34
5357277	5441795	57.80
14180586	14265104	59.77
11416912	11501430	58.28
9323815	9408333	58.08
5217026	5301544	58.31
7224730	7309248	59.74
11294238	11378756	57.13
3429607	3514125	57.36
3112034	3196552	57.92
12748244	12832762	49.25
3245263	3329781	59.14
12045349	12129867	57.82
11541238	11625756	59.41
20257684	20342202	55.92
8875847	8960365	58.15
1457954	1542472	58.08
15415740	15500258	58.93
17992829	18077347	56.16
4188470	4272988	59.40
12701506	12786024	54.59
2644095	2728613	58.58
18523409	18607927	58.84
9837430	9921948	54.86
21093651	21178169	59.75
20754078	20838596	59.16
12134457	12218975	58.64
19372723	19457241	58.37
6452134	6536652	57.79
2333883	2418401	56.41
1537611	1622129	57.21
7646997	7731515	60.11
9710248	9794766	58.69
2677374	2761892	58.96
7811165	7895683	58.02
3389045	3473563	56.39
12754919	12839437	49.17
9327246	9411764	58.34
15213925	15298443	56.82
21330030	21414548	56.05
12241736	12326254	57.73
5457765	5542283	57.51
12421212	12505730	56.20
11920906	12005424	56.86
7029889	7114407	58.61
8958289	9042807	57.12
21744459	21828977	57.91
2395870	2480388	55.88
20439044	20523562	58.71
21306335	21390853	55.38
5742460	5826978	59.32
17922760	18007278	57.79
8214491	8299009	59.73
5482877	5567395	58.14
15510878	15595396	58.27
12732411	12816929	50.54
9057945	9142463	58.62
21474828	21559346	56.68
18688132	18772650	59.60
7369062	7453580	59.12
10881122	10965640	56.46
1876966	1961484	57.74
7685577	7770095	59.07
1077105	1161623	57.57
10584847	10669365	58.06
13460856	13545374	58.64
8983893	9068411	57.72
2220921	2305439	59.13
7079409	7163927	59.74
19031404	19115922	60.67
10558837	10643355	58.13
7134562	7219080	59.39
16751421	16835939	58.11
13275203	13359721	59.60
21570529	21655047	59.63
15396513	15481031	58.16
4793975	4878493	58.05
8887903	8972421	58.22
4685216	4769734	58.67
8275445	8359963	58.77
18836388	18920906	59.00
18085076	18169594	57.78
8816145	8900663	59.80
19615450	19699968	58.96
14375853	14460371	58.24
19580115	19664633	57.63
13401657	13486175	55.36
12146585	12231103	58.81
7359183	7443701	58.83
4641643	4726161	59.44
17096865	17181383	58.65
16559643	16644161	60.49
3050413	3134931	57.61
1580963	1665481	58.29
3679214	3763732	59.61
5128503	5213021	59.20
21053595	21138113	60.52
5368105	5452623	57.80
14165337	14249855	60.03
20012166	20096684	59.00
2131636	2216154	58.90
12910648	12995166	59.06
12805018	12889536	51.83
19994697	20079215	58.56
15705148	15789666	58.92
17754131	17838649	58.09
8436057	8520575	58.25
18563180	18647698	58.98
385239	469757	58.56
3843718	3928236	58.73
18017734	18102252	55.74
8953167	9037685	57.14
21507109	21591627	57.38
11414394	11498912	58.01
3743069	3827587	57.91
9848230	9932748	54.28
14588301	14672819	58.47
5306893	5391411	58.39
15224441	15308959	56.86
108894	193412	59.40
8837869	8922387	59.25
16796882	16881400	58.30
5994562	6079080	57.85
17034970	17119488	56.71
3570554	3655072	56.84
20981592	21066110	57.96
10014145	10098663	57.79
21439587	21524105	57.30
17034339	17118857	56.59
20433649	20518167	58.98
6674349	6758867	54.77
5128434	5212952	59.19
12546466	12630984	58.44
5420686	5505204	56.98
18098556	18183074	57.67
17795716	17880234	59.32
19189	103707	58.92
20097245	20181763	57.41
10876872	10961390	56.69
16394887	16479405	57.82
653531	738049	57.12
3753657	3838175	57.40
12179613	12264131	58.71
10318461	10402979	58.60
8034686	8119204	59.20
1943646	2028164	57.82
8082309	8166827	59.28
19037339	19121857	60.64
2642648	2727166	58.49
2874052	2958570	58.83
16307133	16391651	56.90
2322386	2406904	56.17
17874652	17959170	57.84
4219822	4304340	59.03
4308102	4392620	58.91
15947830	16032348	58.14
18448347	18532865	56.65
5540741	5625259	60.74
8893824	8978342	57.83
17705794	17790312	58.08
20353914	20438432	59.29
14198153	14282671	59.81
7106768	7191286	58.83
18095773	18180291	57.59
6749509	6834027	58.34
10459463	10543981	58.93
13387959	13472477	55.75
12529912	12614430	58.52
14700199	14784717	58.92
17366963	17451481	59.88
15149361	15233879	58.51
4060227	4144745	58.59
8318332	8402850	58.66
7539591	7624109	55.65
2148352	2232870	58.45
11344269	11428787	57.93
705792	790310	59.02
19740364	19824882	58.34
18586522	18671040	58.93
7721369	7805887	58.90
19744773	19829291	58.53
7389269	7473787	59.57
241284	325802	57.49
2382132	2466650	55.71
21176301	21260819	59.34
1975475	2059993	57.68
7682011	7766529	59.24
2261579	2346097	58.15
1054043	1138561	58.41
11087340	11171858	58.42
2377578	2462096	55.25
17252216	17336734	58.43
7986110	8070628	59.53
9344146	9428664	58.01
16287807	16372325	57.50
7188594	7273112	59.07
18093688	18178206	57.64
4439648	4524166	59.75
19161026	19245544	56.27
19334454	19418972	57.89
15860207	15944725	57.74
8153634	8238152	59.23
15870338	15954856	57.62
13658665	13743183	59.23
6389096	6473614	58.86
3165048	3249566	58.45
3252458	3336976	59.31
14463677	14548195	60.28
11888253	11972771	58.80
14212940	14297458	59.74
13794303	13878821	54.15
15670747	15755265	59.10
1817683	1902201	57.76
21682194	21766712	56.87
3302355	3386873	58.85
2033823	2118341	58.27
13509728	13594246	59.20
11385106	11469624	58.39
3666460	3750978	59.62
8343522	8428040	59.28
6428696	6513214	58.22
6382351	6466869	59.09
17994763	18079281	56.20
15052972	15137490	57.63
4703737	4788255	58.41
14155998	14240516	60.11
6156836	6241354	57.39
9346424	9430942	57.98
15523222	15607740	58.76
8382113	8466631	58.89
2529497	2614015	60.18
14869000	14953518	57.49
18465853	18550371	57.33
3285271	3369789	59.60
1697462	1781980	59.62
18139121	18223639	58.85
495191	579709	58.32
3129379	3213897	58.03
7931579	8016097	59.46
5580474	5664992	59.30
13636992	13721510	58.83
16295412	16379930	57.28
16151708	16236226	57.58
7172169	7256687	58.50
13456679	13541197	58.49
1967477	2051995	57.95
5524305	5608823	60.16
12716227	12800745	52.48
72322	156840	59.52
13100380	13184898	58.71
8898737	8983255	57.46
15267547	15352065	58.07
9571375	9655893	56.47
14193775	14278293	59.67
18648490	18733008	58.23
16329982	16414500	56.72
5194119	5278637	57.31
6371915	6456433	59.70
9955862	10040380	54.74
7304829	7389347	59.06
1962373	2046891	57.93
19434065	19518583	59.36
18193052	18277570	59.14
2045396	2129914	58.30
10522831	10607349	57.49
1918148	2002666	58.19
1682497	1767015	59.20
19601747	19686265	58.85
15998367	16082885	57.36
16872858	16957376	58.41
17821635	17906153	59.68
5282565	5367083	58.58
1908561	1993079	58.34
17039896	17124414	57.41
2688094	2772612	59.12
6235251	6319769	57.99
2299194	2383712	56.35
19966065	20050583	58.16
2280388	2364906	57.68
7892133	7976651	57.72
13548459	13632977	58.87
4022727	4107245	59.26
19115134	19199652	57.08
8261616	8346134	59.21
19425300	19509818	59.08
19948752	20033270	58.19
1333508	1418026	57.92
20782994	20867512	58.79
2750906	2835424	58.41
14066853	14151371	58.38
19584792	19669310	57.88
18965868	19050386	58.97
17541677	17626195	58.28
10615610	10700128	57.92
8749844	8834362	58.30
6853801	6938319	58.36
10542261	10626779	57.56
8008971	8093489	59.25
8912544	8997062	57.14
13280369	13364887	59.68
4391546	4476064	59.15
21659412	21743930	56.37
10066231	10150749	57.58
15341910	15426428	57.82
10609146	10693664	58.26
2434143	2518661	56.22
312574	397092	59.12
15377510	15462028	57.99
20842645	20927163	58.24
18890931	18975449	59.87
3354814	3439332	55.86
2458221	2542739	56.52
18040017	18124535	57.44
7152271	7236789	59.15
16974673	17059191	53.98
8898649	8983167	57.48
4444504	4529022	59.43
11710793	11795311	58.74
2308253	2392771	55.98
8196824	8281342	59.99
12399271	12483789	55.06
9562590	9647108	56.58
5293105	5377623	58.54
14703034	14787552	58.96
18227370	18311888	59.15
10150790	10235308	58.80
20524499	20609017	58.61
17748304	17832822	57.94
262499	347017	58.41
18609364	18693882	58.21
10045483	10130001	57.32
3475786	3560304	57.48
4506062	4590580	58.39
8874003	8958521	58.20
3873143	3957661	58.00
3591531	3676049	56.25
18563105	18647623	58.98
5215966	5300484	58.24
9138489	9223007	57.66
9454171	9538689	57.85
20294721	20379239	57.00
7067558	7152076	59.40
11505153	11589671	58.87
6831592	6916110	58.31
21281494	21366012	56.06
8857829	8942347	58.27
16958713	17043231	54.76
16392408	16476926	57.91
8426230	8510748	58.15
1704528	1789046	59.79
3097022	3181540	58.20
21283054	21367572	55.83
14212844	14297362	59.72
9283847	9368365	57.80
1479306	1563824	57.41
118973	203491	59.46
11192300	11276818	54.90
4389579	4474097	59.11
21377977	21462495	57.08
8789760	8874278	59.53
5421791	5506309	56.98
14825539	14910057	58.57
18511323	18595841	58.17
14350791	14435309	58.34
18820911	18905429	58.66
324461	408979	58.74
3753864	3838382	57.42
2524764	2609282	59.96
5001431	5085949	59.26
18306972	18391490	58.36
1208903	1293421	56.33
12388832	12473350	55.15
19545777	19630295	56.39
18539665	18624183	58.66
4969202	5053720	59.03
14421249	14505767	59.09
4276362	4360880	58.37
1403543	1488061	58.53
10343433	10427951	58.65
12235674	12320192	57.71
1338649	1423167	58.13
12006085	12090603	57.37
7048998	7133516	59.06
8372828	8457346	58.71
3449181	3533699	57.64
11867485	11952003	59.18
18786573	18871091	58.14
13635762	13720280	58.74
20825944	20910462	57.93
5185949	5270467	57.30
7943586	8028104	59.75
5452654	5537172	57.52
5940891	6025409	57.72
13834304	13918822	56.60
831692	916210	58.39
6018345	6102863	58.32
11146294	11230812	58.46
