Sample_Start	Sample_End	GC_Content(%)
3735650	3823384	60.93
839221	926955	55.95
9228452	9316186	62.16
8217207	8304941	60.36
7489709	7577443	60.34
4682115	4769849	60.23
3439167	3526901	59.19
18299464	18387198	49.80
2917183	3004917	60.98
14157347	14245081	58.32
1066449	1154183	56.77
999828	1087562	59.68
3143890	3231624	59.45
7336273	7424007	59.48
7806804	7894538	57.47
16956909	17044643	60.71
890399	978133	56.49
18832259	18919993	59.79
6671884	6759618	59.42
18285201	18372935	49.33
14076749	14164483	60.95
7396759	7484493	58.37
15072954	15160688	58.31
9334531	9422265	59.62
218062	305796	60.67
5357277	5445011	59.92
14180586	14268320	57.87
11416912	11504646	57.46
9323815	9411549	59.27
5217026	5304760	62.56
7224730	7312464	60.19
11294238	11381972	58.88
3429607	3517341	59.41
3112034	3199768	58.66
12748244	12835978	58.19
3245263	3332997	59.64
12045349	12133083	59.01
11541238	11628972	59.80
8875847	8963581	59.13
1457954	1545688	61.30
15415740	15503474	60.03
17992829	18080563	58.02
4188470	4276204	58.50
12701506	12789240	59.20
2644095	2731829	59.84
18523409	18611143	60.15
9837430	9925164	57.93
12134457	12222191	59.36
6452134	6539868	58.92
2333883	2421617	56.87
1537611	1625345	61.27
7646997	7734731	59.88
9710248	9797982	59.27
2677374	2765108	59.60
7811165	7898899	57.47
3389045	3476779	59.17
12754919	12842653	57.34
9327246	9414980	59.48
15213925	15301659	61.80
12241736	12329470	60.31
5457765	5545499	58.99
12421212	12508946	60.50
11920906	12008640	59.67
7029889	7117623	59.58
8958289	9046023	53.55
2395870	2483604	60.41
5742460	5830194	59.12
17922760	18010494	58.47
8214491	8302225	60.41
5482877	5570611	57.97
15510878	15598612	56.81
12732411	12820145	58.56
9057945	9145679	60.33
18688132	18775866	60.28
7369062	7456796	58.92
10881122	10968856	59.88
1876966	1964700	59.50
7685577	7773311	58.96
1077105	1164839	57.24
10584847	10672581	61.32
13460856	13548590	58.04
8983893	9071627	56.12
2220921	2308655	58.32
7079409	7167143	59.18
10558837	10646571	61.14
7134562	7222296	58.65
16751421	16839155	59.44
13275203	13362937	59.33
15396513	15484247	61.36
4793975	4881709	55.04
8887903	8975637	57.43
4685216	4772950	60.24
8275445	8363179	61.03
18836388	18924122	59.27
18085076	18172810	58.90
8816145	8903879	59.50
14375853	14463587	58.79
13401657	13489391	58.69
12146585	12234319	58.08
7359183	7446917	59.21
4641643	4729377	61.22
17096865	17184599	58.53
16559643	16647377	58.94
3050413	3138147	59.39
1580963	1668697	60.13
3679214	3766948	59.44
5128503	5216237	59.09
5368105	5455839	60.17
14165337	14253071	58.38
2131636	2219370	59.53
12910648	12998382	59.22
12805018	12892752	58.64
15705148	15792882	59.57
17754131	17841865	59.37
8436057	8523791	59.46
18563180	18650914	59.89
385239	472973	60.38
3843718	3931452	58.04
18017734	18105468	60.81
8953167	9040901	53.55
11414394	11502128	57.43
3743069	3830803	60.36
9848230	9935964	57.21
14588301	14676035	60.01
5306893	5394627	57.91
15224441	15312175	61.16
108894	196628	59.51
8837869	8925603	59.20
16796882	16884616	60.67
5994562	6082296	57.76
17034970	17122704	58.32
3570554	3658288	59.58
10014145	10101879	58.81
17034339	17122073	58.30
6674349	6762083	59.11
5128434	5216168	59.08
12546466	12634200	59.73
5420686	5508420	60.18
18098556	18186290	58.44
17795716	17883450	57.74
19189	106923	59.30
10876872	10964606	60.04
16394887	16482621	59.83
653531	741265	59.26
3753657	3841391	60.10
12179613	12267347	59.42
10318461	10406195	60.75
8034686	8122420	59.62
1943646	2031380	58.07
8082309	8170043	58.38
2642648	2730382	59.85
2874052	2961786	61.24
16307133	16394867	59.00
2322386	2410120	56.67
17874652	17962386	58.65
4219822	4307556	58.60
4308102	4395836	58.20
15947830	16035564	56.65
18448347	18536081	61.32
5540741	5628475	60.97
8893824	8981558	56.79
17705794	17793528	60.09
14198153	14285887	57.64
7106768	7194502	59.31
18095773	18183507	58.58
6749509	6837243	59.09
10459463	10547197	59.89
13387959	13475693	58.49
12529912	12617646	59.44
14700199	14787933	59.78
17366963	17454697	58.70
15149361	15237095	60.62
4060227	4147961	59.50
8318332	8406066	58.62
7539591	7627325	58.32
2148352	2236086	59.16
11344269	11432003	60.18
705792	793526	59.10
18586522	18674256	59.21
