Strain	P/R AT Count	P/R GC Count	Genome-Wide AT Count	Genome-Wide GC Count	Chi2	P-Value
Cryptococcus_sp._DSM108351	13429	13390	2877796	3475722	245.8603754006269	2.074649796534024e-55
Cryptococcus_sp._NCYC1536	11907	11998	2897897	3500857	196.28184986521003	1.3528596213279036e-44
Cryptococcus_sp._DSM109063	8709	8718	3119066	3755483	148.400521117595	3.877750530003641e-34
Cryptococcus_sp._OR918	10942	10961	3522319	4242829	185.95329414766707	2.430459826189874e-42
