Cryptococcus_sp._DSM108351	chr_9:572107-662143
Cryptococcus_sp._NCYC1536	chr_9:541722-629456
Cryptococcus_sp._DSM109063	chr_4:2257277-2341795
Cryptococcus_sp._OR918	chr_5:662213-747795
