Sample_Start	Sample_End	GC_Content(%)
21455603	21557105	52.48
3735650	3837152	53.43
839221	940723	53.39
9228452	9329954	53.35
8217207	8318709	53.51
7489709	7591211	53.24
4682115	4783617	54.08
3439167	3540669	53.20
18299464	18400966	54.25
2917183	3018685	53.34
19813640	19915142	54.18
14157347	14258849	52.72
1066449	1167951	53.40
999828	1101330	52.90
3143890	3245392	53.31
7336273	7437775	52.55
7806804	7908306	53.43
16956909	17058411	52.87
20200396	20301898	52.72
890399	991901	53.42
18832259	18933761	53.60
6671884	6773386	52.47
18285201	18386703	54.51
14076749	14178251	53.12
7396759	7498261	52.30
15072954	15174456	53.74
19772475	19873977	54.44
9334531	9436033	53.99
218062	319564	53.42
5357277	5458779	54.22
14180586	14282088	53.29
11416912	11518414	53.80
9323815	9425317	54.17
5217026	5318528	54.19
7224730	7326232	53.92
11294238	11395740	54.12
3429607	3531109	53.09
3112034	3213536	53.19
12748244	12849746	53.98
3245263	3346765	53.68
12045349	12146851	53.44
11541238	11642740	54.39
20257684	20359186	52.77
8875847	8977349	53.13
1457954	1559456	53.43
15415740	15517242	53.77
17992829	18094331	53.33
4188470	4289972	53.12
12701506	12803008	53.73
2644095	2745597	53.73
18523409	18624911	54.00
9837430	9938932	54.27
21093651	21195153	53.64
20754078	20855580	55.11
12134457	12235959	53.75
19372723	19474225	53.65
6452134	6553636	53.63
2333883	2435385	52.78
1537611	1639113	53.29
7646997	7748499	53.35
9710248	9811750	53.04
2677374	2778876	53.73
7811165	7912667	53.41
3389045	3490547	53.83
12754919	12856421	53.85
9327246	9428748	54.16
15213925	15315427	53.76
21330030	21431532	51.96
12241736	12343238	53.47
5457765	5559267	54.17
12421212	12522714	53.71
11920906	12022408	53.72
7029889	7131391	53.79
8958289	9059791	54.04
2395870	2497372	52.15
20439044	20540546	53.72
21306335	21407837	51.99
5742460	5843962	54.14
17922760	18024262	53.61
8214491	8315993	53.48
5482877	5584379	53.97
15510878	15612380	53.48
12732411	12833913	53.80
9057945	9159447	53.24
21474828	21576330	52.41
18688132	18789634	53.63
7369062	7470564	52.70
10881122	10982624	53.59
1876966	1978468	53.90
7685577	7787079	53.83
1077105	1178607	53.49
10584847	10686349	53.64
13460856	13562358	53.50
8983893	9085395	53.95
2220921	2322423	53.51
7079409	7180911	53.45
19031404	19132906	53.03
10558837	10660339	53.64
7134562	7236064	53.59
16751421	16852923	53.54
13275203	13376705	53.43
21570529	21672031	53.48
15396513	15498015	54.22
4793975	4895477	54.14
8887903	8989405	53.20
4685216	4786718	53.97
8275445	8376947	54.39
18836388	18937890	53.75
18085076	18186578	52.83
8816145	8917647	53.45
19615450	19716952	53.61
14375853	14477355	52.86
19580115	19681617	54.46
13401657	13503159	53.56
12146585	12248087	53.75
7359183	7460685	52.42
4641643	4743145	53.87
17096865	17198367	53.59
16559643	16661145	53.28
3050413	3151915	53.73
1580963	1682465	53.79
3679214	3780716	53.95
5128503	5230005	54.28
21053595	21155097	52.82
5368105	5469607	54.23
14165337	14266839	53.06
20012166	20113668	51.88
2131636	2233138	53.66
12910648	13012150	53.34
12805018	12906520	53.73
19994697	20096199	52.31
15705148	15806650	53.72
17754131	17855633	54.11
8436057	8537559	53.13
18563180	18664682	54.39
385239	486741	54.10
3843718	3945220	53.89
18017734	18119236	53.43
8953167	9054669	54.04
21507109	21608611	53.09
11414394	11515896	53.72
3743069	3844571	53.36
9848230	9949732	54.21
14588301	14689803	54.13
5306893	5408395	53.77
15224441	15325943	53.76
108894	210396	53.62
8837869	8939371	53.56
16796882	16898384	52.90
5994562	6096064	53.57
17034970	17136472	53.60
3570554	3672056	53.07
20981592	21083094	53.63
10014145	10115647	54.05
21439587	21541089	52.88
17034339	17135841	53.59
20433649	20535151	53.72
6674349	6775851	52.50
5128434	5229936	54.27
12546466	12647968	51.69
5420686	5522188	54.04
18098556	18200058	53.44
17795716	17897218	52.77
19189	120691	53.45
20097245	20198747	53.46
10876872	10978374	53.65
16394887	16496389	53.21
653531	755033	54.06
3753657	3855159	53.21
12179613	12281115	54.01
10318461	10419963	53.68
8034686	8136188	52.89
1943646	2045148	53.94
8082309	8183811	53.28
19037339	19138841	53.26
2642648	2744150	53.82
2874052	2975554	53.07
16307133	16408635	53.44
2322386	2423888	52.68
17874652	17976154	52.66
4219822	4321324	53.48
4308102	4409604	53.77
15947830	16049332	54.23
18448347	18549849	53.56
5540741	5642243	53.23
8893824	8995326	53.09
17705794	17807296	54.19
20353914	20455416	53.18
14198153	14299655	53.57
7106768	7208270	53.69
18095773	18197275	53.40
6749509	6851011	54.05
10459463	10560965	52.92
13387959	13489461	53.64
12529912	12631414	52.01
14700199	14801701	52.43
17366963	17468465	53.90
15149361	15250863	53.97
4060227	4161729	53.19
8318332	8419834	54.75
7539591	7641093	53.73
2148352	2249854	53.51
11344269	11445771	53.79
705792	807294	53.69
19740364	19841866	53.81
18586522	18688024	54.37
7721369	7822871	53.34
19744773	19846275	54.01
7389269	7490771	52.59
241284	342786	53.23
2382132	2483634	52.30
21176301	21277803	53.68
1975475	2076977	53.28
7682011	7783513	53.71
2261579	2363081	53.64
1054043	1155545	53.10
11087340	11188842	52.26
2377578	2479080	52.21
17252216	17353718	53.23
7986110	8087612	54.46
9344146	9445648	53.79
16287807	16389309	53.43
7188594	7290096	53.91
18093688	18195190	53.25
4439648	4541150	53.51
19161026	19262528	53.35
19334454	19435956	53.61
15860207	15961709	50.77
8153634	8255136	53.82
15870338	15971840	51.36
