Kwoniella_mangrovensis_CBS8507	ctg_3	1856395	1881555	PR_locus	#58b2aa
Kwoniella_mangrovensis_CBS8507	ctg_2	4142133	4167227	CEN	#666666
Kwoniella_mangrovensis_CBS8507	ctg_3	329016	345385	CEN	#666666
Kwoniella_mangrovensis_CBS8507	ctg_4	1081216	1091697	CEN	#666666
